id,book_id,description,title,language_code,average_rating,ratings_count
24,6,"J.K. Rowling, Mary GrandPré Harry Potter and the Goblet of Fire Harry Potter and the Goblet of Fire (Harry Potter, #4)","Harry Potter and the Goblet of Fire (Harry Potter, #4)",eng,4.53,1753043
25,136251,"J.K. Rowling, Mary GrandPré Harry Potter and the Deathly Hallows Harry Potter and the Deathly Hallows (Harry Potter, #7)","Harry Potter and the Deathly Hallows (Harry Potter, #7)",eng,4.61,1746574
26,968,"Dan Brown The Da Vinci Code The Da Vinci Code (Robert Langdon, #2)","The Da Vinci Code (Robert Langdon, #2)",eng,3.79,1447148
27,1,"J.K. Rowling, Mary GrandPré Harry Potter and the Half-Blood Prince Harry Potter and the Half-Blood Prince (Harry Potter, #6)","Harry Potter and the Half-Blood Prince (Harry Potter, #6)",eng,4.54,1678823
28,7624,William Golding Lord of the Flies  Lord of the Flies,Lord of the Flies,eng,3.64,1605019
29,18135,"William Shakespeare, Robert           Jackson An Excellent conceited Tragedie of Romeo and Juliet Romeo and Juliet",Romeo and Juliet,eng,3.73,1628519
30,8442457,Gillian Flynn Gone Girl Gone Girl,Gone Girl,eng,4.03,512475
31,4667024,Kathryn Stockett The Help The Help,The Help,eng,4.45,1531753
32,890,John Steinbeck Of Mice and Men  Of Mice and Men,Of Mice and Men,eng,3.84,1467496
33,930,Arthur Golden Memoirs of a Geisha Memoirs of a Geisha,Memoirs of a Geisha,eng,4.08,1300209
34,10818853,"E.L. James Fifty Shades of Grey Fifty Shades of Grey (Fifty Shades, #1)","Fifty Shades of Grey (Fifty Shades, #1)",eng,3.67,1338493
35,865,"Paulo Coelho, Alan R. Clarke O Alquimista The Alchemist",The Alchemist,eng,3.82,1299566
36,3636,"Lois Lowry The Giver The Giver (The Giver, #1)","The Giver (The Giver, #1)",eng,4.12,1296825
37,100915,"C.S. Lewis The Lion, the Witch and the Wardrobe The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)","The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",eng,4.19,1531800
38,14050,Audrey Niffenegger The Time Traveler's Wife The Time Traveler's Wife,The Time Traveler's Wife,eng,3.95,746287
39,13496,"George R.R. Martin A Game of Thrones A Game of Thrones (A Song of Ice and Fire, #1)","A Game of Thrones (A Song of Ice and Fire, #1)",eng,4.45,1319204
40,19501,"Elizabeth Gilbert Eat, pray, love: one woman's search for everything across Italy, India and Indonesia Eat, Pray, Love","Eat, Pray, Love",eng,3.51,1181647
41,28187,"Rick Riordan The Lightning Thief The Lightning Thief (Percy Jackson and the Olympians, #1)","The Lightning Thief (Percy Jackson and the Olympians, #1)",eng,4.23,1366265
42,1934,"Louisa May Alcott Little Women Little Women (Little Women, #1)","Little Women (Little Women, #1)",en-US,4.04,1257121
43,10210,"Charlotte Brontë, Michael Mason Jane Eyre Jane Eyre",Jane Eyre,eng,4.1,1198557
44,15931,"Nicholas Sparks The Notebook The Notebook (The Notebook, #1)","The Notebook (The Notebook, #1)",eng,4.06,1053403
45,4214,Yann Martel Life of Pi Life of Pi,Life of Pi,,3.88,1003228
46,43641,Sara Gruen Water for Elephants Water for Elephants,Water for Elephants,eng,4.07,1068146
47,19063,Markus Zusak The Book Thief The Book Thief,The Book Thief,eng,4.36,1159741
48,4381,Ray Bradbury Fahrenheit 451 Fahrenheit 451,Fahrenheit 451,spa,3.97,570498
49,49041,"Stephenie Meyer New Moon (Twilight, #2) New Moon (Twilight, #2)","New Moon (Twilight, #2)",eng,3.52,1149630
50,30119,Shel Silverstein Where the Sidewalk Ends: The Poems and Drawings of Shel Silverstein Where the Sidewalk Ends,Where the Sidewalk Ends,eng,4.29,1016888
51,256683,"Cassandra Clare City of Bones City of Bones (The Mortal Instruments, #1)","City of Bones (The Mortal Instruments, #1)",eng,4.12,1154031
52,428263,"Stephenie Meyer Eclipse Eclipse (Twilight, #3)","Eclipse (Twilight, #3)",en-US,3.69,1134511
53,113436,"Christopher Paolini Eragon Eragon (The Inheritance Cycle, #1)","Eragon (The Inheritance Cycle, #1)",en-US,3.86,1104021
54,11,"Douglas Adams The Hitchhiker's Guide to the Galaxy The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)","The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",en-US,4.2,936782
55,5129,Aldous Huxley Brave New World Brave New World,Brave New World,eng,3.97,1022601
56,1162543,"Stephenie Meyer Breaking Dawn Breaking Dawn (Twilight, #4)","Breaking Dawn (Twilight, #4)",en-US,3.7,1070245
57,37435,Sue Monk Kidd The Secret Life of Bees The Secret Life of Bees,The Secret Life of Bees,en-US,4.01,916189
58,2956,"Mark Twain, John Seelye, Guy Cardwell The Adventures of Huckleberry Finn The Adventures of Huckleberry Finn",The Adventures of Huckleberry Finn,eng,3.8,953758
59,24178,"E.B. White, Garth Williams, Rosemary Wells Charlotte's Web Charlotte's Web",Charlotte's Web,eng,4.15,1064521
60,1618,Mark Haddon The Curious Incident of the Dog in the Night-Time The Curious Incident of the Dog in the Night-Time,The Curious Incident of the Dog in the Night-Time,eng,3.85,867553
61,22557272,Paula Hawkins The Girl on the Train The Girl on the Train,The Girl on the Train,eng,3.88,1008778
62,119322,"Philip Pullman Northern Lights The Golden Compass (His Dark Materials, #1)","The Golden Compass (His Dark Materials, #1)",eng,3.94,953970
63,6185,"Emily Brontë, Richard J. Dunn Wuthering Heights Wuthering Heights",Wuthering Heights,eng,3.82,899195
64,10917,Jodi Picoult My Sister's Keeper My Sister's Keeper,My Sister's Keeper,eng,4.06,863879
65,4981,"Kurt Vonnegut Jr. Slaughterhouse-Five, or The Children's Crusade: A Duty-Dance with Death  Slaughterhouse-Five",Slaughterhouse-Five,eng,4.06,846488
66,18405,Margaret Mitchell Gone with the Wind Gone with the Wind,Gone with the Wind,eng,4.28,873981
67,128029,Khaled Hosseini A Thousand Splendid Suns A Thousand Splendid Suns,A Thousand Splendid Suns,eng,4.34,818742
68,22628,Stephen Chbosky The Perks of Being a Wallflower The Perks of Being a Wallflower,The Perks of Being a Wallflower,eng,4.21,888806
69,11735983,"Veronica Roth Insurgent Insurgent (Divergent, #2)","Insurgent (Divergent, #2)",eng,4.07,836362
70,375802,"Orson Scott Card Ender's Game Ender's Game (Ender's Saga, #1)","Ender's Game (Ender's Saga, #1)",eng,4.3,813439
71,18490,"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle Frankenstein; or, The Modern Prometheus Frankenstein",Frankenstein,eng,3.75,808589
72,11588,Stephen King The Shining The Shining (The Shining #1),The Shining (The Shining #1),eng,4.17,791850
73,1656001,"Stephenie Meyer The Host The Host (The Host, #1)","The Host (The Host, #1)",en-US,3.84,749780
74,99561,John Green Looking for Alaska Looking for Alaska,Looking for Alaska,eng,4.09,783470
75,227443,"Helen Fielding  Bridget Jones's Diary (Bridget Jones, #1)","Bridget Jones's Diary (Bridget Jones, #1)",eng,3.75,736498
76,14935,"Jane Austen, Tony Tanner, Ros Ballaster Sense and Sensibility Sense and Sensibility",Sense and Sensibility,eng,4.06,738894
77,38709,"Louis Sachar, Louis Sachar Holes Holes (Holes, #1)","Holes (Holes, #1)",eng,3.93,747445
78,5139,"Lauren Weisberger The Devil Wears Prada The Devil Wears Prada (The Devil Wears Prada, #1)","The Devil Wears Prada (The Devil Wears Prada, #1)",eng,3.7,665930
79,1381,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox Ὀδύσσεια The Odyssey",The Odyssey,eng,3.73,670326
80,157993,"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta Le Petit Prince The Little Prince",The Little Prince,eng,4.28,738757
81,7445,Jeannette Walls The Glass Castle The Glass Castle,The Glass Castle,eng,4.24,621099
82,1845,Jon Krakauer Into the Wild Into the Wild,Into the Wild,eng,3.94,647684
83,1953,"Charles Dickens, Richard Maxwell, Hablot Knight Browne A Tale of Two Cities A Tale of Two Cities",A Tale of Two Cities,eng,3.81,637412
84,7677,"Michael Crichton Jurassic Park Jurassic Park (Jurassic Park, #1)","Jurassic Park (Jurassic Park, #1)",spa,3.96,447833
85,370493,Shel Silverstein The Giving Tree The Giving Tree,The Giving Tree,eng,4.38,702332
86,32542,John Grisham A Time to Kill A Time to Kill,A Time to Kill,eng,4.03,597775
87,1617,"Elie Wiesel, Marion Wiesel Un di Velt Hot Geshvign Night (The Night Trilogy #1)",Night (The Night Trilogy #1),eng,4.3,691231
88,6442769,John Green Paper Towns Paper Towns,Paper Towns,en-US,3.88,461311
89,21787,William Goldman The Princess Bride The Princess Bride ,The Princess Bride ,en-US,4.25,628637
90,231804,S.E. Hinton The Outsiders The Outsiders,The Outsiders,en-US,4.06,659248
91,6186357,"James Dashner The Maze Runner The Maze Runner (Maze Runner, #1)","The Maze Runner (Maze Runner, #1)",eng,4.02,719925
92,1202,"Steven D. Levitt, Stephen J. Dubner Freakonomics: A Rogue Economist Explores the Hidden Side of Everything Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)","Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)",en-US,3.93,524191
93,2998,Frances Hodgson Burnett The Secret Garden The Secret Garden,The Secret Garden,eng,4.12,639357
94,320,"Gabriel García Márquez, Gregory Rabassa Cien años de soledad One Hundred Years of Solitude",One Hundred Years of Solitude,eng,4.04,490565
95,5297,"Oscar Wilde, Jeffrey Eugenides The Picture of Dorian Gray The Picture of Dorian Gray",The Picture of Dorian Gray,eng,4.06,590014
96,13536860,"E.L. James Fifty Shades Freed Fifty Shades Freed (Fifty Shades, #3)","Fifty Shades Freed (Fifty Shades, #3)",eng,3.88,387290
97,17245,"Bram Stoker, Nina Auerbach, David J. Skal Dracula Dracula",Dracula,eng,3.98,618973
98,5060378,"Stieg Larsson, Reg Keeland Flickan som lekte med elden The Girl Who Played with Fire (Millennium, #2)","The Girl Who Played with Fire (Millennium, #2)",eng,4.22,563994
99,11857408,"E.L. James Fifty Shades Darker Fifty Shades Darker (Fifty Shades, #2)","Fifty Shades Darker (Fifty Shades, #2)",eng,3.87,552059
100,7244,Barbara Kingsolver The Poisonwood Bible The Poisonwood Bible,The Poisonwood Bible,eng,4.02,546502
101,4137,David Sedaris Me Talk Pretty One Day Me Talk Pretty One Day,Me Talk Pretty One Day,eng,3.97,495736
102,19543,Maurice Sendak Where the Wild Things Are Where the Wild Things Are,Where the Wild Things Are,eng,4.22,620618
103,7126,"Alexandre Dumas, Robin Buss Le Comte de Monte-Cristo The Count of Monte Cristo",The Count of Monte Cristo,eng,4.21,555822
104,6288,Cormac McCarthy The Road The Road,The Road,eng,3.95,504793
105,18710190,"Veronica Roth Allegiant Allegiant (Divergent, #3)","Allegiant (Divergent, #3)",eng,3.63,463257
106,9418327,Tina Fey Bossypants Bossypants,Bossypants,eng,3.94,506250
107,3473,Nicholas Sparks A Walk to Remember A Walk to Remember,A Walk to Remember,en-US,4.15,546948
108,9416,"Sophie Kinsella Confessions of a Shopaholic Confessions of a Shopaholic (Shopaholic, #1)","Confessions of a Shopaholic (Shopaholic, #1)",eng,3.61,543658
109,24280,"Victor Hugo, Lee Fahnestock, Norman MacAfee Les Misérables Les Misérables",Les Misérables,eng,4.14,513407
110,10572,"George R.R. Martin A Clash of Kings A Clash of Kings  (A Song of Ice and Fire, #2)","A Clash of Kings  (A Song of Ice and Fire, #2)",eng,4.4,523303
111,10441,Kim Edwards The Memory Keeper's Daughter The Memory Keeper's Daughter,The Memory Keeper's Daughter,eng,3.64,501430
112,15507958,"Jojo Moyes Me Before You Me Before You (Me Before You, #1)","Me Before You (Me Before You, #1)",eng,4.27,587647
113,168668,Joseph Heller Catch-22 Catch-22,Catch-22,en-US,3.98,563265
114,6900,"Mitch Albom, Saulius Dagys Tuesdays with Morrie Tuesdays with Morrie",Tuesdays with Morrie,eng,4.06,556518
115,2187,Jeffrey Eugenides Middlesex Middlesex,Middlesex,en-US,3.98,488243
116,24583,"Mark Twain, Guy Cardwell, John Seelye The Adventures of Tom Sawyer The Adventures of Tom Sawyer",The Adventures of Tom Sawyer,eng,3.89,555359
117,18131,"Madeleine L'Engle A Wrinkle in Time A Wrinkle in Time (A Wrinkle in Time Quintet, #1)","A Wrinkle in Time (A Wrinkle in Time Quintet, #1)",en-US,4.04,615907
118,7763,Amy Tan The Joy Luck Club The Joy Luck Club,The Joy Luck Club,eng,3.9,515090
119,38447,Margaret Atwood The Handmaid's Tale The Handmaid's Tale,The Handmaid's Tale,eng,4.06,607889
120,452306,"Ann Brashares The Sisterhood of the Traveling Pants The Sisterhood of the Traveling Pants (Sisterhood, #1)","The Sisterhood of the Traveling Pants (Sisterhood, #1)",eng,3.75,525706
121,7604,"Vladimir Nabokov, Craig Raine Lolita Lolita",Lolita,eng,3.88,469836
122,37442,"Gregory Maguire, Douglas Smith Wicked: The Life and Times of the Wicked Witch of the West Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)","Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)",eng,3.52,506900
123,5358,"John Grisham The Firm The Firm (Penguin Readers, Level 5)","The Firm (Penguin Readers, Level 5)",eng,3.99,488269
124,7937843,Emma Donoghue Room Room,Room,eng,4.03,511360
125,1420,"William Shakespeare, Richard Andrews, Rex Gibson The Tragicall Historie of Hamlet, Prince of Denmark Hamlet",Hamlet,eng,4,515820
126,234225,Frank Herbert Dune Dune (Dune Chronicles #1),Dune (Dune Chronicles #1),eng,4.19,485032
127,2612,Malcolm Gladwell The Tipping Point: How Little Things Can Make a Big Difference The Tipping Point: How Little Things Can Make a Big Difference,The Tipping Point: How Little Things Can Make a Big Difference,eng,3.92,490504
128,11084145,Walter Isaacson Steve Jobs Steve Jobs,Steve Jobs,eng,4.09,560715
129,332613,Ken Kesey One Flew Over the Cuckoo's Nest One Flew Over the Cuckoo's Nest,One Flew Over the Cuckoo's Nest,eng,4.18,491642
130,2165,Ernest Hemingway The Old Man and the Sea The Old Man and the Sea,The Old Man and the Sea,eng,3.73,520630
131,4395,John Steinbeck The Grapes of Wrath The Grapes of Wrath,The Grapes of Wrath,eng,3.92,322321
132,3431,Mitch Albom The Five People You Meet in Heaven The Five People You Meet in Heaven,The Five People You Meet in Heaven,,3.9,449501
133,8127,"L.M. Montgomery Anne of Green Gables Anne of Green Gables (Anne of Green Gables, #1)","Anne of Green Gables (Anne of Green Gables, #1)",eng,4.23,502247
134,3777732,"Cassandra Clare City of Glass City of Glass (The Mortal Instruments, #3)","City of Glass (The Mortal Instruments, #3)",en-US,4.34,593173
135,62291,"George R.R. Martin A Storm of Swords A Storm of Swords (A Song of Ice and Fire, #3)","A Storm of Swords (A Song of Ice and Fire, #3)",eng,4.54,469022
136,137791,Rebecca Wells Divine Secrets of the Ya-Ya Sisterhood Divine Secrets of the Ya-Ya Sisterhood,Divine Secrets of the Ya-Ya Sisterhood,en-US,3.79,465676
137,10964,"Diana Gabaldon Outlander Outlander (Outlander, #1)","Outlander (Outlander, #1)",eng,4.2,515547
138,12296,"Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym The Scarlet Letter The Scarlet Letter",The Scarlet Letter,eng,3.37,509883
139,9460487,"Ransom Riggs Miss Peregrine’s Home for Peculiar Children Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children, #1)","Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children, #1)",en-US,3.89,613674
140,6892870,"Stieg Larsson, Reg Keeland Luftslottet som sprängdes The Girl Who Kicked the Hornet's Nest (Millennium, #3)","The Girl Who Kicked the Hornet's Nest (Millennium, #3)",en-US,4.2,443951
141,18007564,Andy Weir The Martian The Martian,The Martian,eng,4.39,423344
142,5043,"Ken Follett The Pillars of the Earth The Pillars of the Earth (The Kingsbridge Series, #1)","The Pillars of the Earth (The Kingsbridge Series, #1)",eng,4.29,462517
143,18143977,Anthony Doerr  All the Light We Cannot See,All the Light We Cannot See,eng,4.31,470001
144,8664353,"Laura Hillenbrand Unbroken: A World War II Story of Survival, Resilience, and Redemption Unbroken: A World War II Story of Survival, Resilience, and Redemption","Unbroken: A World War II Story of Survival, Resilience, and Redemption",eng,4.4,487775
145,976,Dan Brown Deception Point Deception Point,Deception Point,eng,3.67,455610
146,17333223,Donna Tartt The Goldfinch The Goldfinch,The Goldfinch,eng,3.87,396756
147,1217100,Jay Asher Thirteen Reasons Why Thirteen Reasons Why,Thirteen Reasons Why,eng,4.02,463783
148,2865,Tracy Chevalier Girl with a Pearl Earring Girl with a Pearl Earring,Girl with a Pearl Earring,eng,3.85,467577
149,4374400,"Gayle Forman If I Stay If I Stay (If I Stay, #1)","If I Stay (If I Stay, #1)",en-US,3.96,503527
150,4989,Anita Diamant The Red Tent The Red Tent,The Red Tent,en-US,4.16,424981
151,28186,"Rick Riordan The Sea of Monsters The Sea of Monsters (Percy Jackson and the Olympians, #2)","The Sea of Monsters (Percy Jackson and the Olympians, #2)",eng,4.23,514932
152,5526,Nicholas Sparks Dear John Dear John,Dear John,en-US,4.01,441062
153,1582996,"Cassandra Clare City of Ashes City of Ashes (The Mortal Instruments, #2)","City of Ashes (The Mortal Instruments, #2)",eng,4.21,541117
154,8852,William Shakespeare The Tragedy of Macbeth Macbeth,Macbeth,eng,3.88,496018
155,15241,"J.R.R. Tolkien The Two Towers The Two Towers (The Lord of the Rings, #2)","The Two Towers (The Lord of the Rings, #2)",en-US,4.42,480446
156,42156,"Emily Giffin Something Borrowed Something Borrowed (Darcy & Rachel, #1)","Something Borrowed (Darcy & Rachel, #1)",eng,3.83,403601
157,23772,"Dr. Seuss, לאה נאור Green Eggs and Ham Green Eggs and Ham",Green Eggs and Ham,en-US,4.29,457475
158,6310,"Roald Dahl, Quentin Blake Charlie and the Chocolate Factory Charlie and the Chocolate Factory (Charlie Bucket, #1)","Charlie and the Chocolate Factory (Charlie Bucket, #1)",eng,4.1,453959
159,2120932,"Rick Riordan The Battle of the Labyrinth The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)","The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",eng,4.39,508214
160,2623,Charles Dickens Great Expectations Great Expectations,Great Expectations,eng,3.75,459247
161,18512,"J.R.R. Tolkien The Return of the King The Return of the King (The Lord of the Rings, #3)","The Return of the King (The Lord of the Rings, #3)",en-US,4.51,463959
162,49552,"Albert Camus, Matthew    Ward L’Étranger The Stranger",The Stranger,eng,3.96,420600
163,7736182,"Rick Riordan The Lost Hero The Lost Hero (The Heroes of Olympus, #1)","The Lost Hero (The Heroes of Olympus, #1)",eng,4.35,271576
164,15745753,Rainbow Rowell Eleanor & Park Eleanor & Park,Eleanor & Park,eng,4.11,514312
165,13497,"George R.R. Martin A Feast for Crows A Feast for Crows (A Song of Ice and Fire, #4)","A Feast for Crows (A Song of Ice and Fire, #4)",en-US,4.1,428186
166,7735333,"Ally Condie Matched Matched (Matched, #1)","Matched (Matched, #1)",eng,3.68,511815
167,4407,"Neil Gaiman American Gods American Gods (American Gods, #1)","American Gods (American Gods, #1)",eng,4.11,378019
168,149267,"Stephen King, Bernie Wrightson The Stand The Stand",The Stand,en-US,4.34,438832
169,6400090,Nicholas Sparks The Last Song The Last Song,The Last Song,en-GB,4.14,424637
170,11125,Dan Brown Digital Fortress Digital Fortress,Digital Fortress,en-GB,3.6,423019
171,6969,"Jane Austen, Fiona Stafford Emma Emma",Emma,eng,3.99,459826
172,15823480,"Leo Tolstoy, Louise Maude, Leo Tolstoj, Aylmer Maude Анна Каренина Anna Karenina",Anna Karenina,eng,4.02,297472
173,227463,Anthony Burgess A Clockwork Orange A Clockwork Orange,A Clockwork Orange,eng,3.98,431195
174,1812457,William Paul Young The Shack: Where Tragedy Confronts Eternity The Shack,The Shack,eng,3.74,419539
175,4502507,"Rick Riordan The Last Olympian The Last Olympian (Percy Jackson and the Olympians, #5)","The Last Olympian (Percy Jackson and the Olympians, #5)",eng,4.5,397500
176,18342,Stephen King It It,It,en-US,4.18,292592
177,7144,"Fyodor Dostoyevsky, David McDuff Преступление и наказание Crime and Punishment",Crime and Punishment,eng,4.18,380903
178,6514,Sylvia Plath The Bell Jar The Bell Jar,The Bell Jar,en-US,3.98,401605
179,252577,"Frank McCourt Angela's Ashes: A Memoir Angela's Ashes (Frank McCourt, #1)","Angela's Ashes (Frank McCourt, #1)",eng,4.07,392103
180,52036,"Hermann Hesse, Hilda Rosner Siddhartha Siddhartha",Siddhartha,eng,3.99,372099
181,168642,Truman Capote In Cold Blood In Cold Blood,In Cold Blood,eng,4.05,381652
182,6304335,"Kami Garcia, Margaret Stohl Beautiful Creatures Beautiful Creatures (Caster Chronicles, #1)","Beautiful Creatures (Caster Chronicles, #1)",eng,3.76,436093
183,7171637,"Cassandra Clare Clockwork Angel Clockwork Angel (The Infernal Devices, #1)","Clockwork Angel (The Infernal Devices, #1)",eng,4.33,490890
184,39988,"Roald Dahl, Quentin Blake Matilda Matilda",Matilda,eng,4.29,440743
185,9361589,Erin Morgenstern The Night Circus The Night Circus,The Night Circus,eng,4.03,429543
186,37470,"Philippa Gregory The Other Boleyn Girl The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)","The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)",eng,4.04,381080
187,24770,"Scott Westerfeld Uglies Uglies (Uglies, #1)","Uglies (Uglies, #1)",eng,3.86,449073
188,10664113,"George R.R. Martin A Dance with Dragons A Dance with Dragons (A Song of Ice and Fire, #5)","A Dance with Dragons (A Song of Ice and Fire, #5)",eng,4.31,365954
189,33,"J.R.R. Tolkien The Lord of the Rings The Lord of the Rings (The Lord of the Rings, #1-3)","The Lord of the Rings (The Lord of the Rings, #1-3)",eng,4.47,389054
190,12262741,Cheryl Strayed Wild: From Lost to Found on the Pacific Crest Trail  Wild: From Lost to Found on the Pacific Crest Trail,Wild: From Lost to Found on the Pacific Crest Trail,eng,3.96,379872
191,472331,"Alan Moore, Dave Gibbons, John Higgins Watchmen Watchmen",Watchmen,en-US,4.35,398018
192,186074,"Patrick Rothfuss The Name of the Wind The Name of the Wind (The Kingkiller Chronicle, #1)","The Name of the Wind (The Kingkiller Chronicle, #1)",eng,4.55,400101
193,3228917,Malcolm Gladwell Outliers: The Story of Success Outliers: The Story of Success,Outliers: The Story of Success,en-US,4.11,353011
194,153747,"Herman Melville, Andrew Delbanco, Tom Quirk Moby Dick; or, The Whale Moby-Dick or, The Whale","Moby-Dick or, The Whale",eng,3.46,358050
195,2728527,"Mary Ann Shaffer, Annie Barrows The Guernsey Literary and Potato Peel Pie Society The Guernsey Literary and Potato Peel Pie Society",The Guernsey Literary and Potato Peel Pie Society,eng,4.12,393626
196,5759,Chuck Palahniuk Fight Club Fight Club,Fight Club,eng,4.2,365349
197,301082,"Charlaine Harris Dead Until Dark Dead Until Dark (Sookie Stackhouse, #1)","Dead Until Dark (Sookie Stackhouse, #1)",en-US,3.96,420764
198,11486,Alice Walker The Color Purple The Color Purple,The Color Purple,eng,4.17,376766
199,12691,John Grogan Marley & Me: Life and Love with the World's Worst Dog Marley and Me: Life and Love With the World's Worst Dog,Marley and Me: Life and Love With the World's Worst Dog,eng,4.12,367304
200,16299,Agatha Christie Ten Little Niggers And Then There Were None,And Then There Were None,eng,4.23,408983
201,6411961,"Dan Brown The Lost Symbol The Lost Symbol (Robert Langdon, #3)","The Lost Symbol (Robert Langdon, #3)",eng,3.66,369428
202,6339664,"Becca Fitzpatrick Hush, Hush Hush, Hush (Hush, Hush, #1)","Hush, Hush (Hush, Hush, #1)",en-US,4,448166
203,11505797,"Jamie McGuire Beautiful Disaster Beautiful Disaster (Beautiful, #1)","Beautiful Disaster (Beautiful, #1)",eng,4.15,418309
204,5326,Charles Dickens A Christmas Carol A Christmas Carol,A Christmas Carol,,4.02,394540
205,43763,"Anne Rice Interview with the Vampire Interview with the Vampire (The Vampire Chronicles, #1)","Interview with the Vampire (The Vampire Chronicles, #1)",eng,3.97,372566
206,10507293,"Kiera Cass The Selection The Selection (The Selection, #1)","The Selection (The Selection, #1)",en-US,4.15,505340
207,6853,"Janet Evanovich One for the Money One for the Money (Stephanie Plum, #1)","One for the Money (Stephanie Plum, #1)",en-US,4.03,391007
